round,train_loss,test_loss
116,0.13028238159984493,0.20169709343820466
117,0.12956564243503374,0.2013328921211122
118,0.12880683132036874,0.2008062442431174
119,0.1281332184067341,0.2004607144483237
120,0.12744242740899883,0.20017494228411606
121,0.12681899641541386,0.19991476456935842
122,0.12625370146698953,0.19960468877508425
123,0.1256206660610284,0.19931680913558614
124,0.12495036362354382,0.19888620392370399
125,0.12430192195922564,0.19865228207274907
126,0.12370822963802379,0.1983922524437251
127,0.12315013204141866,0.19809339680657223
128,0.12254960847266202,0.1978514192115133
129,0.1219868524831928,0.19754691692901136
130,0.121551564391804,0.19736118183013937
131,0.12100924791347518,0.19715858954197196
132,0.12048955554673131,0.19691331340668666
133,0.12008401752174747,0.19666731396782225
134,0.11947799452254716,0.19650867040931586
135,0.11899925558972031,0.19634065587260033
136,0.1183795816861663,0.19605739742083966
137,0.11798440919170225,0.19593449817187092
138,0.11743554715611072,0.1957993354423092
139,0.11689385185395722,0.1956141319141288
140,0.11639431926608955,0.19551404086198518
141,0.11590788041442204,0.19531877705209594
142,0.11548497181265133,0.19522415359283685
143,0.1149431441513782,0.19516518120286433
144,0.11451950774657578,0.19511406760260253
145,0.11400051365236351,0.19500948826367784
146,0.11361863504673535,0.1948787541081312
147,0.11302607472701816,0.19489416354478759
148,0.11246081343940019,0.19480292507346753
149,0.11183208272632429,0.19465655043100544
150,0.11134740566143268,0.19438586870633212
151,0.11091083491716694,0.19428267776448033
152,0.11052021855815419,0.19414945306011588
153,0.11014407830506096,0.19411563071577784
154,0.10974099988605689,0.19401713915430907
155,0.10939523709133861,0.1938597849827715
156,0.10890331376903216,0.1938457261663523
157,0.1085007148687853,0.1938324423612255
158,0.1079984655096283,0.19376295943663496
159,0.10747780273343233,0.1936222769663345
160,0.10693770308059415,0.19365396340422544
161,0.10663579808054385,0.19354463810334918
162,0.10619937660903081,0.1934120827885314
163,0.10585195935780868,0.19333970033550743
164,0.10545350443482802,0.1933278979170735
165,0.10508132059456697,0.1931177432357948
166,0.10469842200523213,0.19300717345246984
167,0.10427684348600359,0.1930122428581239
168,0.103789262157146,0.1928234622543203
169,0.10332653153477486,0.19274321441302314
170,0.10299900071342015,0.19272358939913364
171,0.10259197677288998,0.19278088337928517
172,0.10212605700105148,0.1926935924391324
173,0.10181597840500514,0.19263989408026239
174,0.10140043674348535,0.1925817978983336
175,0.10098514252958768,0.19248814586285692
176,0.10061615009123727,0.19241801980613812
177,0.10033412599460372,0.1923531166091825
178,0.09991085783813848,0.19238271619077818
179,0.09965615739498192,0.19235402374208238
180,0.09920824308475508,0.19232445549824084
181,0.09887000816623703,0.19225112681414397
182,0.09839272289083265,0.19220176877616063
183,0.0979783704869082,0.1922080259203433
184,0.09771708934818629,0.19217128007796755
185,0.0973773741017614,0.1922066315971053
186,0.09705195467036348,0.1921458857582377
187,0.09670162112745577,0.19209860033849216
188,0.09640797100026463,0.19203481095837743
189,0.09601515612530197,0.1921250971837975
190,0.09565596235756199,0.19215398111500498
191,0.09520545612618882,0.19217168694985762
192,0.0947159457958333,0.19210763199728995
193,0.09439122492988063,0.19207944921406497
194,0.09418857584988302,0.1920413230164077
195,0.09371840007885958,0.1920633968993567
196,0.09343654219699457,0.19201172673681544
197,0.0930017221682591,0.19201080475680432
198,0.09271878871351832,0.19207888975912848
199,0.09225994160808851,0.1920576536193482
200,0.09191117361081712,0.19213349819358588
201,0.09149123799820624,0.19220820640477582
202,0.09115053288570424,0.19220881353371128
203,0.09084014116253075,0.19220046518270512
204,0.09049730050009092,0.1922684949707138
205,0.09017981992106518,0.1922122664250019
206,0.0898464341894341,0.19218249466257192
207,0.08944676542009533,0.19234926013258669
208,0.0890806611482927,0.19241465262430965
209,0.08874847543876485,0.19253447556766837
210,0.08846650459135993,0.19254356194319863
211,0.08811565985714008,0.1925216787838074
212,0.08786868881326902,0.19253175225326252
213,0.0876122736527353,0.19252155050889266
214,0.08729700850840465,0.19254885253246667
215,0.08697897913364429,0.19258393594900036
216,0.08660111390601756,0.1926289554220033
217,0.08611158444845891,0.19279341892209179
218,0.08577714491384326,0.19285711976848188
219,0.08555428531282984,0.19286847339549315
220,0.08515905466394037,0.19288736143010818
221,0.08491332985968489,0.19289230285154552
222,0.08465320446024961,0.19286917732184403
223,0.08427775467797533,0.19285964309128587
224,0.0840382914166858,0.1929364433065124
225,0.08379593580456413,0.19305774963591313
226,0.08358209264539249,0.1930642281728065
227,0.08320158944294896,0.19320851683555473
228,0.08283147058698122,0.1931450064099235
229,0.08252577868598121,0.19313078591711116
230,0.08216079503472833,0.19315691921122186
231,0.08192492890112256,0.19318939725825487
232,0.08161508842017853,0.19328049987578666
233,0.08141789332794219,0.19322924460051857
234,0.08105306197571706,0.19320533963358386
235,0.08058753592551758,0.19327154508374605
236,0.08031247330904966,0.19320372962684013
237,0.08006907685859271,0.19318265133871307
238,0.07960327192262219,0.19322679135377296
239,0.07940386514193248,0.1932302661502418
240,0.07907875979113435,0.1932868099728417
241,0.07875465686975155,0.19335305113454165
242,0.07850654956547656,0.193340587675325
243,0.07810723353424545,0.19336519635346341
244,0.07777039380687463,0.1934444363743839
245,0.07746219460489429,0.1934401588402583
246,0.07709561202380079,0.19356771247110066
247,0.07680826720463621,0.19363105224116378
248,0.07656384701829413,0.1936187006480542
249,0.0762624731724523,0.19363902369392355
250,0.0760642188116305,0.1936521945648529
251,0.07570626784267433,0.19376268248022993
252,0.07542763975697499,0.1938352752386546
